state,district,year,month,avg_groundwater_level,monthly_avg_rainfall,rain_lag_1,rain_lag_3,rain_lag_6,cumulative_rain_3m,monthly_avg_soil_moisture_15cm,soil_moisture_lag_1,soil_moisture_lag_3,month_sin,month_cos,groundwater_lag_1,groundwater_lag_3,groundwater_lag_6,groundwater_rolling_3,groundwater_rolling_6
Rajasthan,Ajmer,2018.0,1.0,3.26,1.7671982550008616,1.7768976965476215,1.90865982761475,3.735561396034229,5.3446837532724665,12.930188590872813,13.383209951186547,13.292664011404327,0.49999999999999994,0.8660254037844387,18.666089041435995,18.665358870097826,18.64847145966309,18.665282534433466,18.645919208839064
Rajasthan,Ajmer,2019.0,1.0,4.785,1.7671982550008616,1.7768976965476215,1.90865982761475,3.735561396034229,5.3446837532724665,12.930188590872813,13.383209951186547,13.292664011404327,0.49999999999999994,0.8660254037844387,3.26,18.665358870097826,18.64847145966309,18.665282534433466,18.645919208839064
Rajasthan,Ajmer,2020.0,1.0,5.86,1.7671982550008616,1.7768976965476215,1.90865982761475,3.735561396034229,5.3446837532724665,12.930188590872813,13.383209951186547,13.292664011404327,0.49999999999999994,0.8660254037844387,4.785,18.665358870097826,18.64847145966309,4.635000000000001,18.645919208839064
Rajasthan,Ajmer,2021.0,5.0,6.66,1.7671982550008616,1.7768976965476215,1.90865982761475,3.735561396034229,5.3446837532724665,12.930188590872813,13.383209951186547,13.292664011404327,0.49999999999999994,-0.8660254037844387,5.86,3.26,18.64847145966309,5.7683333333333335,18.645919208839064
Rajasthan,Ajmer,2022.0,5.0,6.585,1.7671982550008616,1.7768976965476215,1.90865982761475,3.735561396034229,5.3446837532724665,12.930188590872813,13.383209951186547,13.292664011404327,0.49999999999999994,-0.8660254037844387,6.66,4.785,18.64847145966309,6.368333333333333,18.645919208839064
Rajasthan,Ajmer,2023.0,1.0,6.4350000000000005,1.7671982550008616,1.7768976965476215,1.90865982761475,3.735561396034229,5.3446837532724665,12.930188590872813,13.383209951186547,13.292664011404327,0.49999999999999994,0.8660254037844387,6.585,5.86,18.64847145966309,6.56,5.5975
Rajasthan,Ajmer,2024.0,10.0,10.6,1.7671982550008616,1.7768976965476215,1.90865982761475,3.735561396034229,5.3446837532724665,12.930188590872813,13.383209951186547,13.292664011404327,-0.8660254037844386,0.5000000000000001,6.4350000000000005,6.66,3.26,7.873333333333334,6.820833333333334
Punjab,Amritsar,2018.0,1.0,10.6,0.0,1.7768976965476215,1.90865982761475,3.735561396034229,5.3446837532724665,12.930188590872813,13.383209951186547,13.292664011404327,0.49999999999999994,0.8660254037844387,6.4350000000000005,6.66,3.26,7.873333333333334,6.820833333333334
Punjab,Amritsar,2018.0,2.0,10.6,0.3277861236071428,0.0,1.90865982761475,3.735561396034229,5.3446837532724665,12.930188590872813,13.383209951186547,13.292664011404327,0.8660254037844386,0.5000000000000001,10.6,6.66,3.26,7.873333333333334,6.820833333333334
Punjab,Amritsar,2018.0,3.0,10.6,0.7862172194516128,0.3277861236071428,1.90865982761475,3.735561396034229,1.1140033430587557,12.930188590872813,13.383209951186547,13.292664011404327,1.0,6.123233995736766e-17,10.6,6.66,3.26,10.6,6.820833333333334
Punjab,Amritsar,2018.0,4.0,10.6,0.1745133568666666,0.7862172194516128,0.0,3.735561396034229,1.2885166999254225,12.930188590872813,13.383209951186547,13.292664011404327,0.8660254037844387,-0.4999999999999998,10.6,10.6,3.26,10.6,6.820833333333334
Punjab,Amritsar,2018.0,5.0,15.34688888888889,0.5809237718387097,0.1745133568666666,0.3277861236071428,3.735561396034229,1.541654348156989,12.930188590872813,13.383209951186547,13.292664011404327,0.49999999999999994,-0.8660254037844387,10.6,10.6,3.26,12.182296296296295,6.820833333333334
Punjab,Amritsar,2018.0,6.0,15.34688888888889,0.0637355764333333,0.5809237718387097,0.7862172194516128,3.735561396034229,0.8191727051387097,12.930188590872813,13.383209951186547,13.292664011404327,1.2246467991473532e-16,-1.0,15.34688888888889,10.6,3.26,13.764592592592592,12.182296296296295
Punjab,Amritsar,2018.0,7.0,15.34688888888889,2.4568889153548388,0.0637355764333333,0.1745133568666666,0.0,3.101548263626882,20.1273952125,13.383209951186547,13.292664011404327,-0.4999999999999997,-0.8660254037844388,15.34688888888889,10.6,10.6,15.34688888888889,12.973444444444445
Punjab,Amritsar,2018.0,8.0,15.34688888888889,6.296964454290323,2.4568889153548388,0.5809237718387097,0.3277861236071428,8.817588946078494,15.262407958064516,20.1273952125,13.292664011404327,-0.8660254037844385,-0.5000000000000004,15.34688888888889,15.34688888888889,10.6,15.34688888888889,13.764592592592592
Punjab,Amritsar,2018.0,9.0,15.34688888888889,2.4690238993,6.296964454290323,0.0637355764333333,0.7862172194516128,11.222877268945162,16.06429311,15.262407958064516,13.292664011404327,-1.0,-1.8369701987210297e-16,15.34688888888889,15.34688888888889,10.6,15.34688888888889,14.55574074074074
Punjab,Amritsar,2018.0,10.0,15.34688888888889,9.455540027161293,2.4690238993,2.4568889153548388,0.1745133568666666,18.22152838075161,12.204462512903223,16.06429311,20.1273952125,-0.8660254037844386,0.5000000000000001,15.34688888888889,15.34688888888889,10.6,15.34688888888889,15.34688888888889
Punjab,Amritsar,2018.0,11.0,15.34688888888889,0.3686476237666666,9.455540027161293,6.296964454290323,0.5809237718387097,12.293211550227957,9.81068797,12.204462512903223,15.262407958064516,-0.5000000000000004,0.8660254037844384,15.34688888888889,15.34688888888889,15.34688888888889,15.34688888888889,15.34688888888889
